ID,Is_Lead
7YYIXJQE,0.025
BHW42XPW,0.0308
3PKEEAT4,0.131
ACFPZ3LM,0.0205
6GORGNYN,0.6248
AEPQTMJK,0.1352
S6FNZFKK,0.0211
JTYNEKRQ,0.2312
GPXDPHHC,0.0331
O8TMKNNB,0.0326
XSQVHKYG,0.0199
MJ3CZRAE,0.0141
3NSQEYBJ,0.1531
SXVBASGH,0.0205
5ZIGZYSS,0.0395
FQSHBCUT,0.1678
MU45XUBP,0.0334
BVULDPBI,0.0338
82GRNPFG,0.6795
KKBNELBF,0.0189
HXQGBDGY,0.0206
28HDZICG,0.2462
GHBPKPJC,0.0205
FDWZFSSC,0.6933
FWTIWZF3,0.0221
JYMHVPMY,0.038
AHUDO2T6,0.7128
ACDHABS3,0.1306
5NTYJJDV,0.0334
2M4VPY4V,0.0346
KAHP9XLF,0.0378
YRLEWZFQ,0.0536
JZWVLXHJ,0.0725
JZZSXUKT,0.1463
93RURE2J,0.7295
4RNB6FDV,0.0464
27E7HMMG,0.0365
2QEFQQWN,0.0235
DDTCD2XI,0.0336
VGVEYSEG,0.661
WCXVE7RK,0.0387
RTN4R3UE,0.0194
K2PVS4RB,0.0233
Q36J686Z,0.0298
NWKHMEOF,0.0363
PVJYQQGT,0.1362
GPUMRNWC,0.0214
LXHCDSVH,0.0341
BNIUPSVK,0.0381
FW3QI3WW,0.0304
IEEUGXMY,0.6944
FVVXDLBO,0.0214
UC2JJB6Y,0.0342
3WPAHP52,0.2574
HDTCJJOE,0.2368
UCSB9GKK,0.0254
HANBFYTH,0.0546
FLUU2HNV,0.0226
64PIYWDJ,0.088
9AHNH8ZX,0.7654
KLHUI2SE,0.0375
YRHYUJFW,0.6557
G5RWWH7F,0.0962
SCBT9BAX,0.0143
UGZGLVNB,0.1267
2RRNUFBV,0.7019
B6O59TEY,0.1293
CYHRRYH6,0.034
GGYZVHWU,0.0351
K6AM97RN,0.0272
ATM5JQYM,0.0251
7GYZSGWA,0.0219
DFWUDQCR,0.1348
E2Z98CR3,0.714
GD9KTSLY,0.0209
2AMRA4OD,0.0377
CFHZ3ZE6,0.2226
BOMLVM5K,0.0235
OBBEGBSY,0.0979
FJEHOK8W,0.0201
3GMAEVPJ,0.0607
WAVDLUTH,0.0219
6EN8GZX6,0.04
VXGA3GKB,0.0397
U4MZ3U8C,0.1338
GU4RDP8S,0.681
N3TPNHCD,0.0451
JRRHWQC8,0.3491
NZ5GBHZK,0.0342
LCUC2LAJ,0.6478
DJDSU9D2,0.9411
647K6DBR,0.0247
7NFXVESK,0.0325
EWUWF25N,0.0228
7QKYPLA8,0.0286
XQVXWBNO,0.0203
CNWH4MVA,0.0213
AFJUJFQD,0.0347
QKMFDX9H,0.0423
YYMB5QBY,0.0333
IRY3SEX7,0.1353
CUAUZJH8,0.033
JYFUYQF5,0.1211
I4NYEDFE,0.4014
M3RSPRGQ,0.0334
JIL3KWQN,0.034
X4B5ZBWU,0.1201
AHYTHHSE,0.0206
E7EHQEQK,0.1831
FAMHAVN3,0.7233
CCGKCTR6,0.0356
6DTSELRV,0.0299
LU8X3G6O,0.0401
NPFDAUJY,0.0211
DR9PXCFU,0.0157
SHVZMWBV,0.0411
8TGXGZHX,0.048
IKRSHJFW,0.0321
TYKRZDCP,0.2044
9IDA3L7P,0.035
ASOWCMDB,0.0257
KZ5J2JGC,0.7038
D5UCFKTV,0.0209
2N8FFP7W,0.02
SA36MTFS,0.0164
8UDMURUH,0.0505
7VSQV6QN,0.031
IFUG9NC5,0.0203
EQXDLQRG,0.134
JAR8YY9J,0.0387
BS4TAF6M,0.0215
WQJ9SPT9,0.672
7QHT4ON2,0.0346
FNGPQN7B,0.0282
DDOMDZRU,0.3398
QYR9HXHP,0.1233
S4NGXFXY,0.0144
NOJ2KSCC,0.6708
ZD2JRUNB,0.1634
GZIPTSNN,0.034
LCFYUVE9,0.7284
PPANVU9W,0.0209
DRPV9STB,0.0328
AFSPF3WZ,0.9313
GPXEUNND,0.7383
NSADMDSM,0.0342
CKWJU8RQ,0.1984
F7MNZSSU,0.0219
BDGVMPZY,0.247
IA3MSRTR,0.0337
JD3WTPMG,0.134
QT6DF6EW,0.6408
NVDEMCZ2,0.0387
9B6UTJVT,0.0409
U6QYES9J,0.0152
DZQPDSPS,0.0322
CRGXVSBF,0.7665
XIHJYS2V,0.4393
7X2MC5GZ,0.715
ZBDVXTM5,0.0205
UUBQPBR5,0.0335
CUMZFBTD,0.0322
E7QXYSQN,0.0141
6UQAJP48,0.0303
QHWB768Y,0.0207
R6RXMXOJ,0.1403
WXQGZG5K,0.0178
GCUFKLHG,0.021
SJX4372M,0.021
VGEAMUZZ,0.0387
ZWDXVKDF,0.7326
WGMRCYLR,0.0226
SI43K5CY,0.0471
DSNBS2RS,0.0373
XIMZCKSR,0.1406
VEW9FXHT,0.0139
JZJHDDDJ,0.2749
4TYUR5HA,0.2238
UHCDFDRX,0.1548
E5QMOFUM,0.0444
PSNVWDZH,0.021
5IQSWONG,0.0318
CEAZEPY4,0.9377
2TNRJXRX,0.0146
BFROCARA,0.0223
GRTJMRKM,0.0143
6EDAM4EU,0.037
NRDB58KL,0.0268
TCPJCWZR,0.0272
KG8LD2BE,0.0179
FHZ3XFDV,0.0332
NZKCSDZ4,0.0372
6DG6KJG4,0.021
BVPKDUNU,0.1679
APR4PQ6X,0.0245
HPWS8YFG,0.0413
VRPBGTPU,0.0388
XBCSX7G7,0.0341
KEH3G8UA,0.04
WXNAVFLT,0.0203
8J8NJ7M6,0.039
D4UW7Y85,0.0222
SZRESXN7,0.0223
UUQSXK5T,0.0246
GPMUKOVY,0.1682
6FYOKAZ5,0.0889
ENUB4N9S,0.0354
KERBCSGE,0.9513
7HTA4C6J,0.6469
4BTVMT6W,0.0211
MR3J9USD,0.0357
7S83FNQW,0.4252
MSOKLC7S,0.0153
GFMNATHU,0.0195
NG4ABA6H,0.9489
3GFHRAQY,0.1239
BCSGZZPE,0.0402
PQ9MCGZC,0.0522
K7N596CG,0.0356
8RUL6JEE,0.031
CVOFJRMP,0.0323
B4FQX4HG,0.0276
W7HAQKDV,0.0391
8C5PKJ7G,0.0343
E4GQJZSQ,0.0342
UENREGNV,0.6867
CC4LYHEW,0.7259
GDKGLTBT,0.0278
G3ER8CGX,0.0221
ZG4KT59X,0.0164
LW93KJMZ,0.2384
9AR5FBSQ,0.1951
FHLWDMRV,0.0465
EON5DCWD,0.9594
J8UXTMYV,0.1336
IXBW5HZH,0.0224
LDHQB458,0.0332
GNHTIKF3,0.0202
8NO22KTE,0.0156
SGJFSSJK,0.0395
TD8D3NDD,0.0231
8RQ27JGU,0.6938
A8GKBMBO,0.6275
ODVMNUDE,0.2128
EA5CRL7L,0.0199
6UI7RPCH,0.1414
7BJYM94L,0.0217
X3PZJF7F,0.1325
YCSSMPV7,0.1437
4EV9VXL8,0.3008
IPNJFQTY,0.1212
XPWNJRJC,0.0201
3WHNSBRB,0.0332
U245YKM8,0.0217
68EFFKBB,0.7122
NEUII7AB,0.9463
F7CSLYWT,0.022
5EOMOZHG,0.0272
6CYUTUFN,0.0965
K7YUC8LF,0.1273
LSMCXMXA,0.0224
AALPBPBP,0.0336
ZPX6VOH2,0.042
CDBFWQGM,0.0269
JUQ76NJV,0.7187
QHE7UULR,0.0216
JRMNMZJA,0.0285
GZ4EZZFX,0.0325
9L9JFIAR,0.3192
GTOE4RN4,0.0681
CUYE7ST4,0.1304
FFM6DHEA,0.7007
5XUK7XLZ,0.1208
4HTGJEEZ,0.0203
RWYBAMRG,0.1099
RQZGBGGN,0.7079
ITVSUTU9,0.0353
6UMDX7NQ,0.1146
4IVKAFYY,0.2662
ZKYOSQEU,0.2065
9JYXIDL4,0.9343
XNURWQBT,0.0209
HVNIJFQC,0.0206
CGGVBJKZ,0.9563
JO9DV3NY,0.7014
EYENUQR9,0.1282
FPU4ZI8H,0.0346
2MALVTY4,0.0421
QN4REV7D,0.0204
27F5ZEQA,0.0333
MKJUE4K2,0.0381
4ECWF4DN,0.0223
KWBJAQMY,0.032
3YAW8OEY,0.0506
ZHHFH7H9,0.7527
BO2822VM,0.0925
NQZUPVUA,0.0178
MUT2PZ7T,0.2537
2MFKPCPS,0.7049
4RLVOVMJ,0.3303
JISGN7XF,0.032
NNOFHDAC,0.0204
ODE23CPW,0.014
ZNTYNFME,0.1159
NQM48VKU,0.0495
DGVBCYY7,0.0262
9F38NUKC,0.0325
3Z7KCIZS,0.0182
ERAX3STD,0.0277
N9TCDYYG,0.0206
R4UMWUZK,0.0333
CPERTJBJ,0.0491
4XK5BMA9,0.0288
2PKDM5B2,0.0286
SW5GTHZN,0.1214
ATJAEQCJ,0.0493
NHNXBSFY,0.0323
NRGYTYZJ,0.0258
UZNABWAT,0.0212
CVP3VZN5,0.034
JEAYZXKC,0.0213
87LFEVTZ,0.1286
N7ZEJ2CQ,0.0213
AQT3ADAP,0.0279
WC8ROKF8,0.022
D9HWEXEV,0.0389
MMHWGZCN,0.021
YKCAQFHU,0.1706
NDPFBA9X,0.2572
3T6C7AEA,0.0466
GZWB38J9,0.0195
OFTXYNYQ,0.0214
QYZQIXBJ,0.3358
N7PJT5HO,0.034
JP2PNX9X,0.091
N3FUZDIH,0.0199
UXKAVBLS,0.0146
G24JWDKS,0.0196
HQOKKQVX,0.0881
HTXFVZZG,0.0284
3TJKVA4J,0.0198
CRGS7FPX,0.0277
BTRJTMR3,0.0411
ERLPQML7,0.0143
9FDFXYAW,0.1105
MEEKFDZZ,0.0202
ZGY8ETLW,0.0364
AXVUJHT9,0.026
35ILRW7D,0.16
DR2U5JQX,0.0392
WHZ7CEY6,0.0381
UCPMS2KF,0.022
HB6MJHDN,0.1254
7NWFPJ2X,0.0283
4QXD6K4K,0.0351
D6H3RTAZ,0.0454
L67WSXUY,0.0385
IXHVY78L,0.0366
H6KE88O6,0.2138
EAPKN7G8,0.9431
GQXJSFJE,0.0319
BVHSRABV,0.0328
DUY76GFX,0.043
O7H9KPSD,0.2437
6EDBA5AN,0.0328
V24CAXFM,0.0293
SERPSAWP,0.0152
H47QYY5K,0.0257
5TYQNFPE,0.1309
HGDB7KMR,0.2477
DWH8Q2S3,0.0439
USNBQZAK,0.0217
I89VR4AB,0.0312
ATZVVXWJ,0.2436
HOKP6ZTS,0.0317
ZDKT2SSW,0.0276
DK5HJYQE,0.0294
ABKW7FGW,0.0379
BCSW3W7T,0.0217
6T4VNEWD,0.4669
XBALBNYB,0.1449
NWMJR3W5,0.023
Q5BJ4ULE,0.0222
DOFSPEWD,0.6457
ANX8FUBJ,0.02
KPR67SVO,0.014
44EV7IJE,0.0236
VZEK4IOK,0.2345
CZMKWRQN,0.0215
VGQUQLXT,0.1185
MS6GASNJ,0.0189
4ENG9TKV,0.6985
UHRRWLGR,0.0339
APFSHZYP,0.021
M7MURWXC,0.1643
3EOATQBT,0.0252
MDZG7EZX,0.0214
QZ6LSSTB,0.0343
Y7EEZYYS,0.7678
RYKLU6HL,0.0204
CWQ8OAQ8,0.0346
WSFUNE28,0.7242
9PFQKPRB,0.0222
MCLXWKBC,0.02
NWDXDZEN,0.1258
EBLDBRDR,0.051
CJRW5JYT,0.1224
CMMKRNUZ,0.0299
EATPTPY3,0.0203
J5AGUF6Q,0.0318
8WYO2BBG,0.1226
9EPXIMZB,0.0247
UZERUG9W,0.0315
QEQ79QUC,0.0332
ZNHVE7QZ,0.0335
PU3J43GY,0.7637
HWDBXAUK,0.0216
W74BHIAD,0.0343
MGLDAPOA,0.0204
BYFCPDX5,0.0366
S2QDUDEJ,0.9539
HBYRWBWL,0.0139
8CIAWHWZ,0.7279
ZFYFFXT5,0.0411
UGIADHRB,0.0614
JDDGRBSU,0.1234
NBS2LTYW,0.1409
DBKM3FRW,0.0335
GLBHRXKB,0.0252
9WDPTNCN,0.0153
NVVVFQ9U,0.7422
6AT635HW,0.0464
HPHDI6NN,0.0217
CPNAGJ95,0.0204
FY6AFNCK,0.923
KWQAVZOE,0.7894
HGBDE3LM,0.1359
SYKEB6EV,0.0328
9BROJWWS,0.1075
CG8DGVAV,0.0388
H7MT8CNK,0.0316
GJVVWNKN,0.714
FXWTMJDG,0.0425
OSNGFACM,0.0336
PBFT55CF,0.9378
4P8GFHSL,0.0195
9ZZ4F4XF,0.2183
CN4YERMU,0.6888
8TUDLTWK,0.0756
USFZPY7Z,0.0151
VBJXREA8,0.0192
9LBNXHQ2,0.0724
PY6HCDWF,0.0197
9VJMJR6X,0.0339
4GAEJIQO,0.0244
F34SD6YQ,0.032
HZ3BZVH6,0.0722
9WVBAWEY,0.1032
BPNYRSEH,0.0221
7OGHEHO3,0.1392
LRJZMHFT,0.0233
PCHQW72T,0.1407
BFJQGRFT,0.2256
UVJ6UYBF,0.0363
LRVO7MCH,0.0928
EAOF4EYO,0.6691
5HPCBEQQ,0.6912
8FJBKABE,0.0225
27J5UDAU,0.018
4MAT9RSM,0.7281
SBDGZSY9,0.6883
HPYN9M2Z,0.0279
G7D2BESM,0.6897
TWN7YQPN,0.0223
BJRGMNFZ,0.0869
9HFPJV3S,0.0342
6WKJAUAG,0.0198
BZUANVCU,0.0358
NYWLDSFZ,0.7733
LTW8JGAZ,0.0221
IMDQJUTW,0.0385
AVHZRCH8,0.0372
LTSDWAVT,0.0212
9WVKLADB,0.1936
GXDSQJS2,0.0195
4IHXKUNA,0.2097
BTYDUQPC,0.0215
BKCNFM72,0.0478
UMVSSZ9N,0.033
N2STVKOI,0.0211
ZZJQB3EY,0.0907
FZJK9GH7,0.0329
NTIWWNVB,0.022
NBCRWUBE,0.0322
UBPYOBYG,0.0358
K8RKMGVW,0.4464
HFTH3NC2,0.0208
759LCPDE,0.1209
DYKME2AY,0.7111
VZHURNZD,0.0145
EAJJBYHU,0.1176
T97TKZNT,0.2386
IXOEQ2YD,0.8393
BWKXTBCF,0.0253
DNKPRVB3,0.1262
JQCF2PXG,0.0201
GIABLCP4,0.0221
FDIC7S35,0.1721
5RTNFJEV,0.0146
OBZ4CU77,0.031
XMVX6WEB,0.1296
MHARJGPA,0.0268
2QI5GPDU,0.2153
AE2NBAJ3,0.0139
MDLANJZG,0.0149
7TAP99MA,0.1023
A6AMKR2Z,0.1389
DX69CFXV,0.0285
HKCKEKV4,0.0442
CBNWXPJJ,0.1253
Z3SJXFCA,0.0355
RHTCABWR,0.7673
ILGMVREG,0.0969
BZK32SSP,0.0211
25RR4UGE,0.0225
9ZQFVNWY,0.0334
FFSTFCAA,0.0332
MBEDAX9Z,0.0359
IYERPTUY,0.0426
SBNMNBJE,0.0144
CPWDDHBP,0.128
EN5EXSVB,0.0342
EFT7687S,0.0316
DUPIVFIW,0.0234
HTVBHNFH,0.022
GFTV6AXH,0.0212
NTNK2ZYN,0.0257
NZ2MDLPM,0.0371
UU4ECFQ5,0.7281
FFWGNGVJ,0.0213
JDQIBLRI,0.0225
ZAWUVVWA,0.0227
FC24V4XD,0.0337
EKTZZYA2,0.0362
RVRMHDD8,0.0196
3RASGR5Y,0.0859
QRBESHHG,0.019
MXYLFHSV,0.0327
TY85POPR,0.0441
BHXO9INE,0.0206
S2RKLYZH,0.217
98GUQS9R,0.1233
6VD8FK4Y,0.0233
FMUHBZHQ,0.023
IHQY3US8,0.7207
VDSNW6DR,0.0336
JF8E8TCY,0.0955
EKVBDN5B,0.123
LJOYHFHT,0.0253
8WBDXKKG,0.2071
LNAASJ6O,0.0227
HGTW39J8,0.0272
AMYH3YSJ,0.0468
QZRPEWE6,0.0231
9RBSJHBJ,0.1253
EFZ3ADG9,0.0234
CMQX6K9J,0.1314
DBVXEJCR,0.0209
PLYKWBFR,0.0237
7QNURUDE,0.0355
M8TD2YPV,0.1258
JVJZVKUJ,0.6371
XVUVCSM8,0.142
C9CMNJEH,0.1457
IQLV6HTY,0.0356
ELG7YZUM,0.0215
PU9KWVOH,0.1825
HAYJGRRV,0.0208
KBKUHSLA,0.0339
USL6KBDY,0.0195
ZGLCSKTI,0.0421
9JQWNRGA,0.045
EBVUVT88,0.0251
9ZU5GNSK,0.1213
EC7NIRSV,0.0217
JJ23TDTX,0.0378
IZWY5RYD,0.0393
TSYCNH93,0.0221
QSY6Q77W,0.0402
TOBSGQ3J,0.1248
FKGE6YRE,0.2191
MGAYPPJE,0.0204
IJRFUH6V,0.0331
KX9Y3LCV,0.0207
2ZDDJYHE,0.6588
NBMLMYQE,0.0287
E8XWCECR,0.0635
5FP4HKBU,0.0438
FUKFFD3F,0.1304
8BDSMQUY,0.018
39T7KUFC,0.0322
HZSPWI2U,0.134
LEJJKOWC,0.0224
DR5F2HVS,0.7281
BJA5TRWJ,0.1655
NCVH9WFE,0.0366
ME3XYUC5,0.6495
VLCHSDHG,0.0275
59CV3HQQ,0.1295
JTAEBBQM,0.0206
OBHDYLE2,0.0422
EUEGA65T,0.0228
MO9XWHWE,0.0634
K3JSVGHE,0.0227
JFHAQZQM,0.033
22IQJE4I,0.6158
F57YH86H,0.0329
BPNYWIPI,0.0246
FJB78783,0.0332
DIVE6ZUL,0.0344
YACVPC9M,0.0453
A3FM9UVE,0.0216
9NE6ZC2Q,0.0346
4NHTDBJN,0.0328
3FH863BT,0.014
3UBBVIGN,0.1101
NNP9TLV2,0.2937
SA7VUUTE,0.0201
ROG7ONJG,0.2199
ICEBXJHF,0.0387
HFTYHFAZ,0.03
EC5IQBEK,0.0257
VQPXGNJV,0.0201
BNE8WOYV,0.7372
MKEXSYJN,0.03
B2MY2KQE,0.0564
GZVND3WE,0.209
JZ8ASRBZ,0.9341
UMQWVVHH,0.7146
MDGISGP7,0.0189
JMVHKVGP,0.0265
G5GPWASE,0.2005
A9H3PMBD,0.0209
DKEMLQCU,0.6538
VVPNRFRF,0.7518
AVIBMJNL,0.1171
3FNEIWTQ,0.0193
WMQIVFIH,0.0415
GUSEEXX5,0.2019
HZBZ7QMH,0.0206
KMTZWEXS,0.0152
62AXBXBL,0.0433
FW6GESXM,0.0281
A67RATVB,0.0219
HUWJHKEG,0.0202
KCHF33KH,0.0442
CJUKTB4B,0.0327
FA8NWHGK,0.033
6UZE4NSH,0.66
4UUZBMXW,0.095
QMRXRYDB,0.0177
M3A5BVAC,0.8828
II63YKTB,0.0342
4OYB27TY,0.1133
IEN9X6H8,0.0358
U9VVATUM,0.0377
SFOYCMRR,0.3611
O7WYJHA5,0.1294
STEKRYHT,0.0139
QSX9J6OF,0.1256
EVT46GYN,0.0189
IQHUPR8Z,0.0278
98WUTF8M,0.0152
5JUSHPUM,0.0203
9FMK8FZU,0.0249
WPWW4JUN,0.2058
8QUXAAHS,0.0397
EU8RGIP7,0.026
BFT7ZJQO,0.0205
4EQAO8W3,0.8078
F3RWQSVQ,0.1451
FUA3S84W,0.0235
G9WITTNH,0.033
TE4CM6N8,0.9274
L93TY7Q6,0.0157
MK46HOFS,0.1159
NSUSAJ7C,0.0176
ZQXJP6PH,0.0357
YX6PNVKN,0.0207
7V7IJDSU,0.1284
BSDHE7F2,0.1241
DV5EXZEZ,0.5408
VDKS85PW,0.232
4W48SFHV,0.1087
ANGVCUXZ,0.0224
IOST7D8C,0.1681
HAQAECZX,0.018
GAB49KQU,0.6948
GEBCXWCU,0.0372
JPT2DAGQ,0.2503
RXYEGKFP,0.2982
4R6HCRNW,0.0216
MWRTSE9B,0.0245
JAC7FJCA,0.1417
5DCT43QX,0.0161
GFZMAKDD,0.0212
8WVWSZNF,0.0388
KCBVOKZ8,0.6619
NRCEX3F3,0.033
59KYREQZ,0.0294
S2HTHOYG,0.0228
98QJA4ZA,0.0198
8S27HJRE,0.1722
MTEWWARX,0.0214
PH8LQUCB,0.0374
BYB9URVZ,0.5002
3TYYHEQU,0.0404
WTOPV47E,0.686
HGNGPJXH,0.1235
LE5M9QWH,0.0242
7YR3Z54H,0.0472
9DLYZCUW,0.7915
RKYQQQL5,0.1484
5UTFCCXZ,0.1442
JCYRCTNE,0.6064
AJIVJ4WE,0.1157
JTCERL4D,0.0341
XWS2DC9M,0.0211
TVIX5INS,0.7205
CIQZ4NJS,0.0352
EJRPJ86R,0.0217
HPQBQGWQ,0.021
FR38HJFG,0.7027
JPXNNMXQ,0.2404
HWED8UBF,0.6795
CJ6ILARS,0.0184
MBCCSXEA,0.0341
4S84NTNM,0.0243
ADGV3FDY,0.0341
HSAJUCOR,0.1193
HHV3JEXF,0.0197
DHARALYV,0.0334
KBVN65GH,0.0323
UYHCQN7W,0.0328
9VXSCU6F,0.0312
F2DBEMXE,0.124
6VN358PX,0.0348
T2J5Y8NB,0.0143
HPXJGYEZ,0.8538
CS5NAYPP,0.2344
2UC6R5XE,0.7276
KZ8TKYP4,0.0233
Y8XIC3AH,0.0433
GCT9PSGP,0.0237
MPQQFX4I,0.038
8VCZYPZD,0.0226
JCIQPZLE,0.0239
AYSUMKSF,0.0493
VVAVU9BN,0.199
F3NBRACB,0.0218
FPIGVTHX,0.0338
X7XNXJVW,0.0222
JEKWRXYH,0.2557
MNGYZO5U,0.0377
FXPCJ7GE,0.784
BUXRB7CD,0.0368
JV4MCTHN,0.0198
JUFQ5PVJ,0.1152
ENLVSM6O,0.1365
CJHC43KV,0.037
N4NSCGHE,0.1987
FUVHQRWB,0.021
GTQHBCF7,0.1392
DSB6DIRV,0.0515
BVUKQQRV,0.028
KZCHX6LW,0.6134
M5XAM7HE,0.0213
YODUTYZU,0.6981
JEREISWR,0.2382
FTHIZFGT,0.0406
7TCFIDRX,0.0246
V8CRCBLR,0.0205
XEDZWKEX,0.1774
RAD4GZKE,0.0208
FY8NXMD2,0.0148
KVZXQCUM,0.1179
JXRP92WY,0.026
IYA3LI6E,0.0345
FXEUAUMU,0.0389
KXVZ3BNR,0.0161
FTDASK8G,0.2228
JZQZ7RWM,0.0355
HNPMBXDN,0.0349
3SUTYK7Z,0.0203
EHAW2L37,0.0196
H5HWWKTM,0.0695
BQVSKRPN,0.0455
EUK3CR9A,0.1122
VRMGCTGP,0.0231
ENDZJZGR,0.0324
NSSYQFVN,0.0359
7TRWUSYQ,0.9424
7Z6JWBCW,0.034
7DR4UVAZ,0.1382
H7YECJLG,0.1349
CUNTRPMN,0.7046
VQQEMTVX,0.0325
NWMFKQLZ,0.0221
FIUW4SGY,0.0203
JCVXZSJS,0.029
VZRUA5XP,0.1223
923REBWY,0.0345
3FKWHVLC,0.0338
V8JTYKKL,0.0905
A4MRC8NU,0.2418
CQJTCLCJ,0.2453
L9O3NMDQ,0.0209
7DFWCHAN,0.0258
NK7CWSGK,0.1354
OLLGNEK9,0.0212
KVOLRR62,0.0339
KAI7SJGY,0.1081
5LYDNC27,0.0443
LPGW9PN3,0.038
4WA5JPWP,0.0242
GCDXLWAN,0.0846
7V6GQUOD,0.0382
ENYQCCWM,0.026
B3BUXXA4,0.1351
PC7INMMF,0.1048
6PJ9NW3X,0.214
DXYC8WIG,0.7395
DPKUYNJK,0.0346
6ZRSCJ6J,0.7022
CPX4EYVB,0.3389
T28RFIEL,0.023
D4GXBMM8,0.0386
JMQJAZHA,0.1183
RZSFMVB9,0.1152
T2QWMIDV,0.1251
GRM6UHIW,0.0218
X2SD7FMK,0.0399
I4SENFDI,0.0198
YSNU9M3K,0.5145
USGXXPJH,0.1466
QPQZPSMH,0.0342
QPZDTV5V,0.0216
H28ZERNP,0.9387
UNWHQWCY,0.0395
7N8BRMDU,0.0348
DFMGCWHV,0.0554
8FP6ENF4,0.1496
FAO6XGQE,0.0273
X5FCJHQ5,0.0215
GGFPEVFR,0.0354
AP9SCCXC,0.0858
WONWP8QB,0.0234
CWEKUQ4P,0.7113
C5CGJVQZ,0.7075
HO4YRWYD,0.0212
HLIYGGYA,0.0219
QKAJK2VB,0.139
ZEZT2RND,0.0281
9AVBPCUN,0.0233
EZYK55RU,0.0226
XLUTOAMB,0.0388
DWU7CKFE,0.035
D6DQQIBU,0.1
QHQJZFZU,0.1645
YP9SF5M4,0.0203
VMYWFYEL,0.8152
4XPSMAPQ,0.0203
FKF7TQWV,0.2097
FFSKJ4PJ,0.0449
5UTEZSAB,0.0152
5NKBKDHR,0.1271
N3UXDVTF,0.7169
5OY8PVUA,0.0325
RSDW4ASM,0.0186
LH8H3PTS,0.9464
CSSGZP9Q,0.0217
SKHABGYI,0.0218
GFNPT3NG,0.026
CBKXYPE7,0.1058
QGXXYFWE,0.2336
DTLXTDMB,0.1289
XQU9XWRT,0.018
NZMD3FOP,0.0223
YHJCEHBM,0.2019
P8Q24VFD,0.0289
IMF54OGD,0.033
QXTFTJZR,0.03
RMBIAZPU,0.1393
9VCZ5LPR,0.0361
GSYBHMCW,0.0195
X7C7Z2C3,0.024
FPUWSRYS,0.0222
XPMQAAKG,0.0465
EQ3C2DDV,0.034
WBBAFNBP,0.954
FYH9BSDA,0.0988
JWNYLDQ2,0.0224
OWYEXKMJ,0.145
PGE7SYWG,0.0213
6S8GNM6C,0.0321
EVGXQGGW,0.0317
G3RBZKVF,0.0141
WPRYJTHH,0.1376
6PMYO4NW,0.032
4DPCCOT4,0.0321
EVHK3KNC,0.022
C25XPJHR,0.0158
MRAIW8WJ,0.0253
FRHEUMRV,0.0232
TDF6TDHD,0.0258
MG2YF6UW,0.7765
7GX9RWEC,0.031
6LM5QANA,0.799
J3DBQUJR,0.0383
2O4EUQUG,0.1215
COA38OVH,0.0438
NUEETDF8,0.0216
BP3FKBPZ,0.1404
EEG8PEV4,0.0211
G7JWN6JV,0.1132
ESSIGXVU,0.0146
8W6YED3T,0.0351
TNCPHB6Z,0.1093
SD3MES8O,0.0211
3C3FBK8X,0.0338
WUMUDSST,0.0376
4DWPAOIX,0.0213
5PRTDKXK,0.0456
HVOBOSSI,0.0416
4WTK9RBR,0.0336
FEAFI9GC,0.0342
EKN8UCSW,0.6923
